######################################################################################################################
WINDOW: floor
######################################################################################################################
  rule                     cap        kept   skip       net$    PF  Sharpe  Calmar   MaxDD%   block    rej
  range_p80__vol_06_2      strict025   749    318     21,487  1.42    2.13    0.87     7.2%       0    257
  range_p80__vol_le_2      strict025   768    299     20,062  1.38    1.95    0.81     7.2%       0    273
  range_p80                strict025   899    168     21,283  1.38    1.91    0.78     8.0%       0    359
  range_p90                strict025   983     84     21,091  1.35    1.82    0.71     8.7%       0    425
  none                     strict025  1067      0     20,285  1.33    1.71    0.68     8.7%       0    490
  range_p90__vol_06_2      strict025   811    256     19,615  1.36    1.85    0.66     8.6%       0    304
  vol_06_2                 strict025   872    195     18,965  1.34    1.75    0.65     8.6%       0    353
  range_p90__vol_le_2      strict025   831    236     18,975  1.34    1.77    0.64     8.6%       0    322
  vol_le_2                 strict025   893    174     18,325  1.32    1.68    0.62     8.6%       0    372
  range_p80__vol_06_2      current     749    318     34,706  1.52    2.32    1.06     9.5%       0    128
  range_p90__vol_06_2      current     811    256     34,460  1.46    2.12    1.06     9.5%       0    156
  range_p90__vol_le_2      current     831    236     34,109  1.44    2.03    1.04     9.5%       0    169
  range_p80__vol_le_2      current     768    299     33,208  1.47    2.14    1.01     9.6%       0    138
  range_p90                current     983     84     37,471  1.44    2.03    0.96    11.4%       0    220
  range_p80                current     899    168     34,215  1.43    1.99    0.84    11.8%       0    179
  vol_06_2                 current     872    195     31,433  1.40    1.88    0.82    11.2%       0    190
  vol_le_2                 current     893    174     31,082  1.38    1.80    0.72    12.6%       0    204
  none                     current    1067      0     33,176  1.36    1.73    0.52    18.5%       0    268

######################################################################################################################
WINDOW: vault2025
######################################################################################################################
  rule                     cap        kept   skip       net$    PF  Sharpe  Calmar   MaxDD%   block    rej
  range_p90__vol_le_2      strict025   113     31      6,280  1.69    2.78    1.86     7.3%       0     50
  range_p90__vol_06_2      strict025   109     35      6,056  1.66    2.70    1.80     7.3%       0     47
  vol_le_2                 strict025   119     25      5,734  1.62    2.54    1.70     7.3%       0     55
  vol_06_2                 strict025   115     29      5,511  1.59    2.46    1.63     7.3%       0     52
  range_p90                strict025   137      7      5,329  1.49    2.17    1.46     7.9%       0     67
  none                     strict025   144      0      4,783  1.43    1.95    1.31     7.9%       0     73
  range_p80__vol_le_2      strict025   107     37      2,962  1.33    1.78    0.88     7.3%       0     46
  range_p80__vol_06_2      strict025   103     41      2,739  1.30    1.66    0.81     7.3%       0     43
